series_name,candidate_autohome_series_id,expected_source_name,evidence_url,evidence_source,note,source_series_name,name_relation,name_similarity,api_review_total,api_page_count,existing_id_assignments,target_in_zero_coverage_gap,decision,decision_reason,checked_at
别克GL6,4487,别克GL6,https://car.autohome.com.cn/price/series-4487.html,official_search_result,Official Autohome result names the target series,别克GL6,exact,1.0,1081,109,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:05
别克GL8新能源,7658,别克GL8新能源,https://www.autohome.com.cn/7658/,official_search_result,Official Autohome result names the target series,别克GL8新能源,exact,1.0,187,19,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:05
勇士,622,勇士,https://www.autohome.com.cn/622/,official_search_result,Official Autohome result names the target series,勇士,exact,1.0,23,3,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:05
北京现代ix35,1007,北京现代ix35,https://car.autohome.com.cn/price/series-1007.html,official_search_result,Official Autohome result names the target series,北京现代ix35,exact,1.0,3307,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:06
卡罗拉双擎E+,4832,卡罗拉双擎E+,https://car.autohome.com.cn/price/series-4832.html,official_search_result,Official Autohome result names the target series,卡罗拉双擎E+,exact,1.0,128,13,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:06
合创A06,6502,合创A06,https://www.autohome.com.cn/6502/,official_search_result,Official Autohome result names the target series,合创A06,exact,1.0,17,2,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:06
吉利熊猫,6924,熊猫,https://car.autohome.com.cn/diandongche/series-6924.html,official_search_result,Target roster retains the manufacturer prefix while Autohome displays 熊猫,熊猫,contains,0.6667,562,57,,True,manual_review,official endpoint matches the documented alias/renamed display name,2026-08-23T23:05:06
启辰T60,4887,启辰T60,https://car.autohome.com.cn/price/series-4887.html,official_search_result,Official Autohome result names the target series,启辰T60,exact,1.0,557,56,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:07
大家7,7211,大家7,https://www.autohome.com.cn/7211/,official_search_result,Official Autohome result names the target series,大家7,exact,1.0,88,9,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:07
大家9,6148,大家9,https://car.autohome.com.cn/video/series-6148.html,official_search_result,Official Autohome result names the target series,大家9,exact,1.0,95,10,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:07
奔奔E-Star,7279,奔奔E-Star,https://car.autohome.com.cn/diandongche/series-7279.html,official_search_result,Official Autohome result names the target series,奔奔E-Star,exact,1.0,3,1,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:08
宋Pro新能源,5279,宋Pro新能源,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%AE%8BPro%E6%96%B0%E8%83%BD%E6%BA%90,official_suggestion_api,Unique exact official suggestion match,宋Pro新能源,exact,1.0,3039,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:46
宝马1系,4171,宝马1系,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%AE%9D%E9%A9%AC1%E7%B3%BB,official_suggestion_api,Unique exact official suggestion match,宝马1系,exact,1.0,636,64,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:46
宝马X2,5309,宝马X2,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%AE%9D%E9%A9%ACX2,official_suggestion_api,Unique exact official suggestion match,宝马X2,exact,1.0,154,16,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:47
宝马iX3,5758,宝马iX3,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%AE%9D%E9%A9%ACiX3,official_suggestion_api,Unique exact official suggestion match,宝马iX3,exact,1.0,397,40,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:47
宝骏KiWi EV,6155,宝骏KiWi EV,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%AE%9D%E9%AA%8FKiWi%20EV,official_suggestion_api,Unique exact official suggestion match,宝骏KiWi EV,exact,1.0,302,31,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:47
小鹏G3,4489,小鹏G3,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%B0%8F%E9%B9%8FG3,official_suggestion_api,Unique exact official suggestion match,小鹏G3,exact,1.0,1065,107,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:47
小鹏MONA M03,6998,小鹏MONA M03,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%B0%8F%E9%B9%8FMONA%20M03,official_suggestion_api,Unique exact official suggestion match,小鹏MONA M03,exact,1.0,269,27,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:48
小鹏P5,6095,小鹏P5,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%B0%8F%E9%B9%8FP5,official_suggestion_api,Unique exact official suggestion match,小鹏P5,exact,1.0,876,88,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:48
小鹏P7,5213,小鹏P7,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%B0%8F%E9%B9%8FP7,official_suggestion_api,Unique exact official suggestion match,小鹏P7,exact,1.0,1928,193,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:48
小鹏P7+,7554,小鹏P7+,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%B0%8F%E9%B9%8FP7%2B,official_suggestion_api,Unique exact official suggestion match,小鹏P7+,exact,1.0,142,15,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:49
小鹏X9,7067,小鹏X9,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%B0%8F%E9%B9%8FX9,official_suggestion_api,Unique exact official suggestion match,小鹏X9,exact,1.0,138,14,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:49
岚图梦想家,6459,岚图梦想家,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%B2%9A%E5%9B%BE%E6%A2%A6%E6%83%B3%E5%AE%B6,official_suggestion_api,Unique exact official suggestion match,岚图梦想家,exact,1.0,1620,162,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:49
岚图追光L,8259,岚图追光 L,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%B2%9A%E5%9B%BE%E8%BF%BD%E5%85%89L,official_suggestion_api,Unique exact normalised-name official suggestion match,岚图追光 L,exact,1.0,23,3,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:49
护卫舰07,6671,护卫舰07,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%8A%A4%E5%8D%AB%E8%88%B007,official_suggestion_api,Unique exact official suggestion match,护卫舰07,exact,1.0,627,63,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:50
捷豹XEL,4462,捷豹XEL,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%8D%B7%E8%B1%B9XEL,official_suggestion_api,Unique exact official suggestion match,捷豹XEL,exact,1.0,427,43,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:50
昊铂GT,7084,昊铂GT,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%98%8A%E9%93%82GT,official_suggestion_api,Unique exact official suggestion match,昊铂GT,exact,1.0,129,13,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:50
星海T5,8457,星海T5,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%98%9F%E6%B5%B7T5,official_suggestion_api,Unique exact official suggestion match,星海T5,exact,1.0,0,0,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T00:55:51
星越L 智擎,7496,星越L智擎,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%98%9F%E8%B6%8AL%20%E6%99%BA%E6%93%8E,official_suggestion_api,Unique exact normalised-name official suggestion match,星越L智擎,exact,1.0,0,0,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:20
极氪001,6091,极氪001,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%9E%81%E6%B0%AA001,official_suggestion_api,Unique exact official suggestion match,极氪001,exact,1.0,1499,150,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:20
极氪009,6846,极氪009,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%9E%81%E6%B0%AA009,official_suggestion_api,Unique exact official suggestion match,极氪009,exact,1.0,362,37,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:21
极狐考拉,7120,极狐 考拉,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%9E%81%E7%8B%90%E8%80%83%E6%8B%89,official_suggestion_api,Unique exact normalised-name official suggestion match,极狐 考拉,exact,1.0,170,17,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:21
标致508,2299,标致508,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%A0%87%E8%87%B4508,official_suggestion_api,Unique exact official suggestion match,标致508,exact,1.0,2873,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:21
比亚迪M9,8184,比亚迪M9,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%AF%94%E4%BA%9A%E8%BF%AAM9,official_suggestion_api,Unique exact official suggestion match,比亚迪M9,exact,1.0,3,1,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:21
汉,5499,汉,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B1%89,official_suggestion_api,Unique exact official suggestion match,汉,exact,1.0,12019,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:22
江淮A5 PLUS,7251,江淮A5 PLUS,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B1%9F%E6%B7%AEA5%20PLUS,official_suggestion_api,Unique exact official suggestion match,江淮A5 PLUS,exact,1.0,43,5,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:22
江淮QX PHEV,7217,江淮QX PHEV,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B1%9F%E6%B7%AEQX%20PHEV,official_suggestion_api,Unique exact official suggestion match,江淮QX PHEV,exact,1.0,65,7,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:22
沃兰多,4882,沃兰多,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B2%83%E5%85%B0%E5%A4%9A,official_suggestion_api,Unique exact official suggestion match,沃兰多,exact,1.0,1156,116,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:22
沃尔沃C40,6049,沃尔沃C40,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B2%83%E5%B0%94%E6%B2%83C40,official_suggestion_api,Unique exact official suggestion match,沃尔沃C40,exact,1.0,53,6,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:23
沃尔沃ES90,8050,沃尔沃ES90,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B2%83%E5%B0%94%E6%B2%83ES90,official_suggestion_api,Unique exact official suggestion match,沃尔沃ES90,exact,1.0,1,1,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:23
海豹07DM-i,7822,海豹07 DM-i,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B5%B7%E8%B1%B907DM-i,official_suggestion_api,Unique exact normalised-name official suggestion match,海豹07 DM-i,exact,1.0,583,59,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:23
海马8S,4770,海马8S,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B5%B7%E9%A9%AC8S,official_suggestion_api,Unique exact official suggestion match,海马8S,exact,1.0,424,43,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:23
海马INJOY,7867,海马INJOY,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B5%B7%E9%A9%ACINJOY,official_suggestion_api,Unique exact official suggestion match,海马INJOY,exact,1.0,0,0,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:24
瑞风E3,6506,瑞风E3,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E7%91%9E%E9%A3%8EE3,official_suggestion_api,Unique exact official suggestion match,瑞风E3,exact,1.0,27,3,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:36:24
皓影新能源,5994,皓影新能源,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E7%9A%93%E5%BD%B1%E6%96%B0%E8%83%BD%E6%BA%90,official_suggestion_api,Unique exact official suggestion match,皓影新能源,exact,1.0,15,2,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:04
福瑞迪,813,福瑞迪,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E7%A6%8F%E7%91%9E%E8%BF%AA,official_suggestion_api,Unique exact official suggestion match,福瑞迪,exact,1.0,2037,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:04
秦L,7578,秦L,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E7%A7%A6L,official_suggestion_api,Unique exact official suggestion match,秦L,exact,1.0,1079,108,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:04
秦PLUS,5964,秦PLUS,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E7%A7%A6PLUS,official_suggestion_api,Unique exact official suggestion match,秦PLUS,exact,1.0,10007,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:05
秦新能源,2761,秦新能源,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E7%A7%A6%E6%96%B0%E8%83%BD%E6%BA%90,official_suggestion_api,Unique exact official suggestion match,秦新能源,exact,1.0,1519,152,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:05
纳米01,7364,纳米01,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E7%BA%B3%E7%B1%B301,official_suggestion_api,Unique exact official suggestion match,纳米01,exact,1.0,472,48,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:05
腾势D9,6669,腾势D9,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%85%BE%E5%8A%BFD9,official_suggestion_api,Unique exact official suggestion match,腾势D9,exact,1.0,2458,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:06
荣威D7,7301,荣威D7,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%8D%A3%E5%A8%81D7,official_suggestion_api,Unique exact official suggestion match,荣威D7,exact,1.0,469,47,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:06
荣威RX3,4473,荣威RX3,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%8D%A3%E5%A8%81RX3,official_suggestion_api,Unique exact official suggestion match,荣威RX3,exact,1.0,3332,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:06
荣威i6 MAX新能源,5801,荣威i6 MAX新能源,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%8D%A3%E5%A8%81i6%20MAX%E6%96%B0%E8%83%BD%E6%BA%90,official_suggestion_api,Unique exact official suggestion match,荣威i6 MAX新能源,exact,1.0,21,3,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:07
荣威iMAX8新能源,6641,荣威iMAX8新能源,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%8D%A3%E5%A8%81iMAX8%E6%96%B0%E8%83%BD%E6%BA%90,official_suggestion_api,Unique exact official suggestion match,荣威iMAX8新能源,exact,1.0,73,8,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:07
赛那SIENNA,6272,赛那SIENNA,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%B5%9B%E9%82%A3SIENNA,official_suggestion_api,Unique exact official suggestion match,赛那SIENNA,exact,1.0,586,59,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:07
起亚KX3傲跑,3664,起亚KX3傲跑,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%B5%B7%E4%BA%9AKX3%E5%82%B2%E8%B7%91,official_suggestion_api,Unique exact official suggestion match,KX3傲跑,contains,0.8333,1252,126,,True,manual_review,target and source names partially contain one another,2026-08-24T01:55:08
轩度EV,6844,轩度EV,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%BD%A9%E5%BA%A6EV,official_suggestion_api,Unique exact official suggestion match,轩度EV,exact,1.0,0,0,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:08
迈锐宝XL,4031,迈锐宝XL,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E8%BF%88%E9%94%90%E5%AE%9DXL,official_suggestion_api,Unique exact official suggestion match,迈锐宝XL,exact,1.0,6550,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:08
途安,333,途安,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%80%94%E5%AE%89,official_suggestion_api,Unique exact official suggestion match,途安,exact,1.0,3420,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T01:55:09
长安UNI-Z新能源,7512,长安UNI-Z新能源,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%95%BF%E5%AE%89UNI-Z%E6%96%B0%E8%83%BD%E6%BA%90,official_suggestion_api,Unique exact official suggestion match,长安UNI-Z新能源,exact,1.0,155,16,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:23:15
长安启源Q05经典,7351,长安启源Q05经典,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%95%BF%E5%AE%89%E5%90%AF%E6%BA%90Q05%E7%BB%8F%E5%85%B8,official_suggestion_api,Unique exact official suggestion match,长安启源Q05经典,exact,1.0,180,18,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:23:16
长安欧尚520,7895,长安欧尚520,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%95%BF%E5%AE%89%E6%AC%A7%E5%B0%9A520,official_suggestion_api,Unique exact official suggestion match,长安欧尚520,exact,1.0,0,0,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:23:16
风光330,3829,风光330,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%A3%8E%E5%85%89330,official_suggestion_api,Unique exact official suggestion match,风光330,exact,1.0,467,47,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:23:16
风光380,6581,风光380,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%A3%8E%E5%85%89380,official_suggestion_api,Unique exact official suggestion match,风光380,exact,1.0,46,5,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:23:17
风光E380,6391,风光E380,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%A3%8E%E5%85%89E380,official_suggestion_api,Unique exact official suggestion match,风光E380,exact,1.0,32,4,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:23:17
魏牌 高山,8766,魏牌 高山,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%AD%8F%E7%89%8C%20%E9%AB%98%E5%B1%B1,official_suggestion_api,Unique exact official suggestion match,魏牌 高山,exact,1.0,0,0,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:23:17
银河V900,8436,银河V900,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%93%B6%E6%B2%B3V900,official_suggestion_api,Unique exact official suggestion match,银河V900,exact,1.0,5,1,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:41:29
领克10,8176,领克10,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%A2%86%E5%85%8B10,official_suggestion_api,Unique exact official suggestion match,领克10,exact,1.0,197,20,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:41:36
奥迪A6L e-tron,8105,奥迪A6L e-tron,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%A5%A5%E8%BF%AAA6L%20e-tron,official_suggestion_api,Unique exact official suggestion match,奥迪A6L e-tron,exact,1.0,21,3,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:45:07
海豹07EV,8462,海豹07 EV,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E6%B5%B7%E8%B1%B907EV,official_suggestion_api,Unique exact normalised-name official suggestion match,海豹07 EV,exact,1.0,90,9,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:45:09
铂智7,7724,铂智7,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%93%82%E6%99%BA7,official_suggestion_api,Unique exact official suggestion match,铂智7,exact,1.0,124,13,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:45:11
银河星耀7,8313,银河星耀7,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E9%93%B6%E6%B2%B3%E6%98%9F%E8%80%807,official_suggestion_api,Unique exact official suggestion match,银河星耀7,exact,1.0,104,11,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:45:13
凯威德,8471,凯威德,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E5%87%AF%E5%A8%81%E5%BE%B7,official_suggestion_api,Unique exact official suggestion match,凯威德,exact,1.0,3,1,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:45:15
爱跑,7573,爱跑,https://sou.api.autohome.com.cn/sug/_suggest?plat=pc&q=%E7%88%B1%E8%B7%91,official_suggestion_api,Unique exact official suggestion match,爱跑,exact,1.0,0,0,,True,verified,official endpoint ID and target name agree exactly,2026-08-24T11:45:16
